Name,Location,Latitude,Longitude
AGGH,Honiara / Henderson,-9.416,160.05
AGGM,Munda,-8.333,157.266
ANAU,Nauru Airport,-0.533,166.916
AYMO,Manus Island/Momote,-2.061,147.424
AYPY,Moresby,-9.433,147.216
AYWK,Wewak,-3.566,143.633
BGBW,Narsarsuaq,61.166,-45.416
BGCO,Constable Pynt,70.75,-22.65
BGGH,Godthaab / Nuuk,64.166,-51.75
BGJN,Jacobshavn Lufthavn,69.233,-51.066
BGKK,Kulusuk Lufthavn,65.583,-37.15
BGSF,Sdr Stroemfjord,67.016,-50.7
BGTL,Thule A. B.,76.533,-68.75
BIAR,Akureyri,65.683,-18.083
BIEG,Egilsstadir,65.283,-14.4
BIGR,Grimsey,66.533,-18.016
BIHN,Akurnes,64.3,-15.216
BIKF,Keflavikurflugvollur,63.966,-22.6
BIRK,Reykjavik,64.133,-21.9
BIVM,Vestmannaeyjar,63.4,-20.283
BIVO,Skjaldthingsstadir,65.7,-14.816
CWAE,Whistler,50.133,-122.95
CWAF,Ile Rouge Meteorological Aeronautical Presentation System,48.083,-69.55
CWAJ,Erieau Meteorological Aeronautical Presentation System,42.25,-81.9
CWAQ,Coronach Spc,49.05,-105.483
CWAR,"Argentia, Nfld",47.3,-54.0
CWAV,Sundre,51.766,-114.683
CWBA,"Banff, Alta.",51.183,-115.566
CWBE,Killarney Meteorological Aeronautical Presentation System,45.966,-81.483
CWBK,Caribou Point Meteorological Aeronautical Presentation System,45.766,-62.683
CWBO,Brooks Automatic Weather Reporting System,50.55,-111.85
CWBT,"Longue Point De Mingan, Que.",50.266,-64.233
CWBV,"Beaven Island, N. S.",44.816,-62.333
CWBY,"Port Menier, Que.",49.833,-64.3
CWBZ,St Anicet,45.116,-74.283
CWCA,"Cartwright, Nfld.",53.7,-57.033
CWCF,"Berens River CS , Man.",52.35,-97.033
CWCI,"Caribou Island, Ont.",47.333,-85.833
CWCJ,Pukaskwa,48.6,-86.3
CWCL,"Clinton, B. C.",51.15,-121.5
CWCO,Collingwood Automatic Weather Reporting System,44.5,-80.216
CWCT,Coronation Automated Reporting Station,52.066,-111.466
CWDA,Englee Meteorological Aeronautical Presentation System,50.716,-56.116
CWDC,"Uranium City, Sask.",59.566,-108.483
CWDJ,Regina University,50.4,-104.583
CWDK,Claresholm Automatic Weather Reporting System,50.016,-113.633
CWDL,Dease Lake B. C.,58.416,-130.0
CWDM,"Chevery, Que.",50.466,-59.633
CWDO,Twillingate Meteorological Aeronautical Presentation System,49.683,-54.8
CWDQ,La Tuque,47.416,-72.8
CWDT,Chute Des Passes,49.9,-71.25
CWDV,"Upsala, Ont.",49.033,-90.466
CWDZ,Drumheller East,51.433,-112.666
CWEB,"Estevan Point, B. C.",49.383,-126.55
CWEE,Chamouchouane Automatic Weather Reporting System,49.283,-73.35
CWEF,Saint Paul Island Meteorological Aeronautical Presentation System,47.233,-60.133
CWEH,"Eastend Cypress, Sask",49.433,-108.983
CWEK,Grey Islet Meteorological Aeronautical Presentation System,54.583,-130.7
CWEL,Entrance Island Automatic Weather Reporting System,49.216,-123.8
CWEP,"East Point, P. E. I",46.45,-61.966
CWEQ,"Swan River, Man.",52.116,-101.233
CWER,Ile D'Orleans Automated Reporting Station,47.0,-70.816
CWEU,"Eureka, N. W. T.",79.983,-85.933
CWEW,L'Assomption,45.816,-73.433
CWEZ,Saturna Island Meteorological Aeronautical Presentation System,48.783,-123.05
CWFD,"Cape Dyer, N. W. T.",66.583,-61.616
CWFF,Melfort Automatic Weather Reporting System,52.816,-104.6
CWFJ,Cardston Automated Reporting Station,49.2,-113.283
CWFQ,Frelighsburg,45.05,-72.833
CWGB,Ballenas Island Automatic Weather Reporting System,49.35,-124.166
CWGD,Goderich Automatic Weather Reporting System,43.766,-81.716
CWGH,Grenadier Island,44.416,-75.85
CWGL,Lagoon City,44.533,-79.216
CWGM,Waterton Park Gate,59.133,-113.8
CWGP,Pemberton Automatic Weather Reporting System,50.3,-122.733
CWGR,Iles-De-La-Madelein,47.416,-61.8
CWGT,Sisters Island Automatic Weather Reporting System,49.483,-124.433
CWGW,Sparwood Automatic Weather Reporting System,49.75,-114.9
CWGX,"Gillam, Man.",56.366,-94.7
CWGY,Esther 1,51.666,-110.2
CWGZ,Grise Fiord Airport,76.416,-82.9
CWHC,Vancouver Automatic Weather Reporting System,49.3,-123.116
CWHH,Hunters Point Mar,53.033,-100.933
CWHI,Three Hills,51.7,-113.216
CWHL,Holland Rock Automatic Weather Reporting System,54.166,-130.366
CWHM,Varennes,45.716,-73.383
CWHN,Jimmy Lake,54.916,-109.95
CWHO,Hopedale Meteorological Aeronautical Presentation System,55.45,-60.233
CWHP,Heath Point Meteorological Aeronautical Presentation System,49.083,-61.7
CWHQ,"Deschambaults , Que.",46.683,-71.95
CWHT,Haines Junction,60.766,-137.583
CWHV,Beauceville,46.2,-70.783
CWHY,Mont-Orford,45.316,-72.25
CWIA,"Saint Henri , Que.",48.65,-71.85
CWID,Fort Providence,61.316,-117.6
CWIG,"Ile Aux Grues, Que.",47.066,-70.533
CWII,Victoria Beach,50.7,-96.566
CWIJ,"Lupin, N. W. T.",65.766,-111.233
CWIK,"Broadview, Sask.",50.383,-102.683
CWIL,"Hat Island, N. W. T.",68.316,-100.083
CWIP,"Pointe Noire , Que.",50.166,-66.433
CWIQ,Primrose Lake,54.75,-110.05
CWIS,"Charlevoix CS , Que.",47.283,-70.633
CWIT,Saint Clothilde Automated Reporting Station,45.166,-73.683
CWIW,Watrous East Automated Reporting Station,51.666,-105.4
CWIX,Mistook Automated Reporting Station,48.766,-71.716
CWIY,St Leonard Automatic Weather Reporting System,47.15,-67.816
CWIZ,L'Acadie,45.3,-73.35
CWJB,"Ste Foy CS , Que.",47.3,-71.266
CWJC,Ennadai Lake Meteorological Aeronautical Presentation System,61.133,-100.9
CWJD,"Grand Rapids, Man.",53.183,-99.266
CWJH,Southend Automatic Weather Reporting System,56.333,-103.283
CWJI,Assiniboia Airport Automated Reporting Station,49.733,-105.933
CWJO,Jonquiere Automated Reporting Station,48.416,-71.216
CWJR,Creston Automatic Weather Reporting System,49.083,-116.5
CWJT,St Jovite Automatic Weather Reporting System,46.066,-74.533
CWJU,"Langara, B. C.",54.25,-133.05
CWJV,"Vernon, B. C.",50.233,-119.3
CWJW,Jasper Warden Automated Reporting Station,52.933,-118.316
CWJX,Leader Airport Automatic Weather Reporting System,50.9,-109.5
CWKD,"Bonnard 1, Que.",50.733,-71.016
CWKG,"Kejimkujik 1, N. S.",44.433,-65.2
CWKH,Malahat Automatic Weather Reporting System,48.583,-123.583
CWKK,Katatota Island,49.716,-88.333
CWKM,"Komakuk Beach, Y. T.",69.616,-140.2
CWKO,"Rockglen, Sask.",49.166,-105.983
CWKW,Cape Kakkiviak,59.983,-64.166
CWKX,Dease Lake Coastal Station,58.416,-130.0
CWLB,"Lac La Biche, Alta.",54.766,-112.016
CWLC,"Lucy Island, B. C.",54.3,-130.6
CWLE,Lucky Lake Automatic Weather Reporting System,50.95,-107.15
CWLI,Liverpool Bay,69.6,-130.9
CWLM,Victoria Automatic Weather Reporting System,48.416,-123.316
CWLO,Shilo,49.783,-99.633
CWLP,Herbert Island Meteorological Aeronautical Presentation System,50.933,-127.633
CWLS,"Mount Forest, Ont.",43.983,-80.75
CWLU,"Lauzon, Que.",46.833,-71.166
CWLX,"Longstaff Bluff, N. W. T.",68.883,-75.133
CWLY,"Lytton, B. C.",50.233,-121.583
CWME,Cathedral Point Meteorological Aeronautical Presentation System,52.183,-127.466
CWMJ,Maniwaki,46.283,-76.0
CWMM,P. Meadows Coastal Station Automatic Weather Reporting System,49.2,-122.683
CWMQ,Maplecreek Automatic Weather Reporting System,49.9,-109.466
CWMT,Lac La Martre,63.15,-117.266
CWMZ,Western Island Meteorological Aeronautical Presentation System,45.033,-80.366
